Date,Consumption,Price
2018-12,2970.276,NA
2018-11,2688.922,NA
2018-10,2275.799,NA
2018-09,2156.318,NA
2018-08,2308.825,NA
2018-07,2344.499,NA
2018-06,2047.94,NA
2018-05,2046.084,NA
2018-04,2334.571,NA
2018-03,2771.317,NA
2018-02,2699.497,NA
2018-01,3308.417,NA
2017-12,3082.577,NA
2017-11,2354.621,NA
2017-10,2029.687,NA
2017-09,1919.752,NA
2017-08,2093.222,NA
2017-07,2140.251,NA
2017-06,1909.021,NA
2017-05,1890.793,NA
2017-04,1931.018,NA
2017-03,2522.542,NA
2017-02,2339.157,NA
2017-01,2913.118,NA
2016-12,2866.273,NA
2016-11,2159.445,NA
2016-10,1925.203,NA
2016-09,1947.752,NA
2016-08,2208.375,NA
2016-07,2186.616,NA
2016-06,2000.656,NA
2016-05,1965.799,NA
2016-04,2083.848,NA
2016-03,2356.298,NA
2016-02,2652.26,NA
2016-01,3091.695,NA
2015-12,2588.168,NA
2015-11,2249.14,NA
2015-10,1987.31,NA
2015-09,1901.337,NA
2015-08,2052.728,NA
2015-07,2067.714,NA
2015-06,1899.906,NA
2015-05,1858.149,NA
2015-04,2007.922,NA
2015-03,2591.329,NA
2015-02,2925.172,NA
2015-01,3114.982,NA
2014-12,2679.165,NA
2014-11,2357.521,NA
2014-10,1912.81,NA
2014-09,1809.291,NA
2014-08,1933.061,NA
2014-07,1881.017,NA
2014-06,1745.351,NA
2014-05,1810.222,NA
2014-04,1961.678,NA
2014-03,2557.89,NA
2014-02,2741.24,NA
2014-01,3204.129,NA
2013-12,2920.826,NA
2013-11,2316.909,NA
2013-10,1866.762,NA
2013-09,1766.973,NA
2013-08,1927.379,NA
2013-07,1926.33,NA
2013-06,1742.917,NA
2013-05,1752.469,NA
2013-04,1967.458,NA
2013-03,2521.108,NA
2013-02,2567.155,NA
2013-01,2878.785,NA
2012-12,2503.907,3.35
2012-11,2167.841,3.35
2012-10,1901.084,3.03
2012-09,1807.208,2.71
2012-08,2008.815,2.86
2012-07,2069.773,2.59
2012-06,1868.356,2.54
2012-05,1873.835,1.94
2012-04,1953.071,1.89
2012-03,2127.761,2.25
2012-02,2500.654,2.46
2012-01,2756.18,2.89
2011-12,2541.878,3.14
2011-11,2031.872,3.35
2011-10,1744.454,3.62
2011-09,1655.634,3.82
2011-08,1891.783,4.2
2011-07,1890.515,4.27
2011-06,1657.334,4.2
2011-05,1667.396,4.12
2011-04,1825.023,4.05
2011-03,2230.493,3.95
2011-02,2452.403,4.34
2011-01,2888.64,4.37
2010-12,2714.054,4.68
2010-11,1973.294,4.12
2010-10,1664.938,4.05
2010-09,1637.491,3.83
2010-08,1878.926,4.38
2010-07,1825.828,4.44
2010-06,1649.515,4.27
2010-05,1617.274,4.24
2010-04,1691.813,4.1
2010-03,2142.925,4.7
2010-02,2480.95,5.3
2010-01,2809.788,5.69
