 ,CPIENGSL
1957-01-01,21.3
1957-02-01,21.4
1957-03-01,21.5
1957-04-01,21.6
1957-05-01,21.6
1957-06-01,21.6
1957-07-01,21.5
1957-08-01,21.4
1957-09-01,21.4
1957-10-01,21.4
1957-11-01,21.5
1957-12-01,21.5
1958-01-01,21.6
1958-02-01,21.3
1958-03-01,21.4
1958-04-01,21.4
1958-05-01,21.5
1958-06-01,21.5
1958-07-01,21.6
1958-08-01,21.7
1958-09-01,21.7
1958-10-01,21.7
1958-11-01,21.4
1958-12-01,21.4
1959-01-01,21.4
1959-02-01,21.6
1959-03-01,21.7
1959-04-01,21.8
1959-05-01,21.8
1959-06-01,21.9
1959-07-01,21.8
1959-08-01,21.9
1959-09-01,21.9
1959-10-01,22.2
1959-11-01,22.2
1959-12-01,22.3
1960-01-01,22.3
1960-02-01,22.2
1960-03-01,22.3
1960-04-01,22.4
1960-05-01,22.3
1960-06-01,22.4
1960-07-01,22.5
1960-08-01,22.5
1960-09-01,22.6
1960-10-01,22.5
1960-11-01,22.7
1960-12-01,22.6
1961-01-01,22.7
1961-02-01,22.6
1961-03-01,22.6
1961-04-01,22.2
1961-05-01,22.4
1961-06-01,22.5
1961-07-01,22.5
1961-08-01,22.5
1961-09-01,22.6
1961-10-01,22.4
1961-11-01,22.5
1961-12-01,22.4
1962-01-01,22.4
1962-02-01,22.6
1962-03-01,22.4
1962-04-01,22.7
1962-05-01,22.7
1962-06-01,22.5
1962-07-01,22.3
1962-08-01,22.4
1962-09-01,22.8
1962-10-01,22.7
1962-11-01,22.7
1962-12-01,22.8
1963-01-01,22.8
1963-02-01,22.7
1963-03-01,22.7
1963-04-01,22.6
1963-05-01,22.6
1963-06-01,22.5
1963-07-01,22.7
1963-08-01,22.6
1963-09-01,22.5
1963-10-01,22.7
1963-11-01,22.6
1963-12-01,22.6
1964-01-01,22.8
1964-02-01,22.2
1964-03-01,22.6
1964-04-01,22.5
1964-05-01,22.5
1964-06-01,22.6
1964-07-01,22.5
1964-08-01,22.6
1964-09-01,22.5
1964-10-01,22.5
1964-11-01,22.5
1964-12-01,22.6
1965-01-01,22.8
1965-02-01,22.7
1965-03-01,22.6
1965-04-01,22.9
1965-05-01,23
1965-06-01,23.1
1965-07-01,23
1965-08-01,23
1965-09-01,23.1
1965-10-01,23
1965-11-01,23.1
1965-12-01,23.1
1966-01-01,23.1
1966-02-01,23.2
1966-03-01,23.2
1966-04-01,23.2
1966-05-01,23.2
1966-06-01,23.3
1966-07-01,23.4
1966-08-01,23.3
1966-09-01,23.4
1966-10-01,23.4
1966-11-01,23.5
1966-12-01,23.5
1967-01-01,23.6
1967-02-01,23.7
1967-03-01,23.6
1967-04-01,23.9
1967-05-01,23.9
1967-06-01,23.8
1967-07-01,23.8
1967-08-01,23.9
1967-09-01,24
1967-10-01,23.9
1967-11-01,24
1967-12-01,23.9
1968-01-01,24
1968-02-01,24.1
1968-03-01,24.1
1968-04-01,24
1968-05-01,24.1
1968-06-01,24.2
1968-07-01,24.2
1968-08-01,24.3
1968-09-01,24.3
1968-10-01,24.3
1968-11-01,24.4
1968-12-01,24.3
1969-01-01,24.4
1969-02-01,24.4
1969-03-01,24.7
1969-04-01,24.9
1969-05-01,24.8
1969-06-01,25
1969-07-01,24.9
1969-08-01,24.9
1969-09-01,25
1969-10-01,25
1969-11-01,25
1969-12-01,25.1
1970-01-01,25.1
1970-02-01,25.1
1970-03-01,25
1970-04-01,25.5
1970-05-01,25.4
1970-06-01,25.3
1970-07-01,25.5
1970-08-01,25.4
1970-09-01,25.6
1970-10-01,25.9
1970-11-01,26
1970-12-01,26.2
1971-01-01,26.3
1971-02-01,26.2
1971-03-01,26.2
1971-04-01,26.1
1971-05-01,26.2
1971-06-01,26.3
1971-07-01,26.3
1971-08-01,26.8
1971-09-01,26.9
1971-10-01,27
1971-11-01,26.9
1971-12-01,27
1972-01-01,27
1972-02-01,26.8
1972-03-01,26.9
1972-04-01,26.9
1972-05-01,27
1972-06-01,27
1972-07-01,27.1
1972-08-01,27.3
1972-09-01,27.6
1972-10-01,27.7
1972-11-01,27.9
1972-12-01,27.8
1973-01-01,27.9
1973-02-01,28.2
1973-03-01,28.3
1973-04-01,28.6
1973-05-01,28.8
1973-06-01,29.2
1973-07-01,29.2
1973-08-01,29.4
1973-09-01,29.4
1973-10-01,30.3
1973-11-01,31.5
1973-12-01,32.5
1974-01-01,34.1
1974-02-01,35.4
1974-03-01,36.9
1974-04-01,37.6
1974-05-01,38.3
1974-06-01,38.6
1974-07-01,38.9
1974-08-01,39.2
1974-09-01,39.3
1974-10-01,39.2
1974-11-01,39.4
1974-12-01,39.6
1975-01-01,40
1975-02-01,40.3
1975-03-01,40.6
1975-04-01,41
1975-05-01,41.3
1975-06-01,41.7
1975-07-01,42.5
1975-08-01,42.8
1975-09-01,43.2
1975-10-01,43.5
1975-11-01,43.9
1975-12-01,44.1
1976-01-01,44.5
1976-02-01,44.4
1976-03-01,44.1
1976-04-01,43.9
1976-05-01,44.1
1976-06-01,44.4
1976-07-01,44.8
1976-08-01,45.2
1976-09-01,45.7
1976-10-01,46.1
1976-11-01,46.8
1976-12-01,47.5
1977-01-01,48.1
1977-02-01,48.1
1977-03-01,48.4
1977-04-01,48.6
1977-05-01,48.9
1977-06-01,48.9
1977-07-01,49.1
1977-08-01,49.5
1977-09-01,49.8
1977-10-01,50.5
1977-11-01,51.3
1977-12-01,51.6
1978-01-01,51.1
1978-02-01,50.6
1978-03-01,51
1978-04-01,51.4
1978-05-01,51.7
1978-06-01,51.9
1978-07-01,52.1
1978-08-01,52.6
1978-09-01,53.2
1978-10-01,54.1
1978-11-01,54.9
1978-12-01,55.9
1979-01-01,55.8
1979-02-01,55.9
1979-03-01,57.4
1979-04-01,59.5
1979-05-01,62
1979-06-01,64.7
1979-07-01,67.3
1979-08-01,69.7
1979-09-01,71.9
1979-10-01,73.5
1979-11-01,74.8
1979-12-01,76.8
1980-01-01,79.1
1980-02-01,81.9
1980-03-01,84.5
1980-04-01,85.4
1980-05-01,86.4
1980-06-01,86.5
1980-07-01,86.7
1980-08-01,87.2
1980-09-01,87.5
1980-10-01,88
1980-11-01,88.8
1980-12-01,90.7
1981-01-01,92.1
1981-02-01,95.2
1981-03-01,97.4
1981-04-01,97.6
1981-05-01,97.9
1981-06-01,97.3
1981-07-01,97.3
1981-08-01,97.8
1981-09-01,98.6
1981-10-01,99.2
1981-11-01,100.5
1981-12-01,101.5
1982-01-01,100.6
1982-02-01,98
1982-03-01,96.6
1982-04-01,94.2
1982-05-01,95.7
1982-06-01,98.4
1982-07-01,99.3
1982-08-01,99.8
1982-09-01,100.3
1982-10-01,101.7
1982-11-01,102.5
1982-12-01,102.8
1983-01-01,99.6
1983-02-01,97.7
1983-03-01,96.8
1983-04-01,98.9
1983-05-01,100.4
1983-06-01,100.6
1983-07-01,100.9
1983-08-01,101.2
1983-09-01,101
1983-10-01,100.8
1983-11-01,100.5
1983-12-01,100
1984-01-01,100.2
