"power","stat","dist","kn","n","cpt","delta"
0.737,"de","ar1_0.5","log",50,"c4rt",-2
0.7116,"de","ar1_0.5","log",50,"c4rt",-1.9
0.6756,"de","ar1_0.5","log",50,"c4rt",-1.8
0.63,"de","ar1_0.5","log",50,"c4rt",-1.7
0.6098,"de","ar1_0.5","log",50,"c4rt",-1.6
0.5736,"de","ar1_0.5","log",50,"c4rt",-1.5
0.5352,"de","ar1_0.5","log",50,"c4rt",-1.4
0.503,"de","ar1_0.5","log",50,"c4rt",-1.3
0.4704,"de","ar1_0.5","log",50,"c4rt",-1.2
0.4598,"de","ar1_0.5","log",50,"c4rt",-1.1
0.4104,"de","ar1_0.5","log",50,"c4rt",-1
0.382,"de","ar1_0.5","log",50,"c4rt",-0.9
0.363,"de","ar1_0.5","log",50,"c4rt",-0.8
0.329,"de","ar1_0.5","log",50,"c4rt",-0.7
0.322,"de","ar1_0.5","log",50,"c4rt",-0.6
0.3046,"de","ar1_0.5","log",50,"c4rt",-0.5
0.3074,"de","ar1_0.5","log",50,"c4rt",-0.4
0.2732,"de","ar1_0.5","log",50,"c4rt",-0.3
0.288,"de","ar1_0.5","log",50,"c4rt",-0.2
0.2676,"de","ar1_0.5","log",50,"c4rt",-0.0999999999999999
0.2672,"de","ar1_0.5","log",50,"c4rt",0
0.2742,"de","ar1_0.5","log",50,"c4rt",0.1
0.2802,"de","ar1_0.5","log",50,"c4rt",0.2
0.2836,"de","ar1_0.5","log",50,"c4rt",0.3
0.2924,"de","ar1_0.5","log",50,"c4rt",0.4
0.3136,"de","ar1_0.5","log",50,"c4rt",0.5
0.314,"de","ar1_0.5","log",50,"c4rt",0.6
0.3354,"de","ar1_0.5","log",50,"c4rt",0.7
0.3578,"de","ar1_0.5","log",50,"c4rt",0.8
0.38,"de","ar1_0.5","log",50,"c4rt",0.9
0.419,"de","ar1_0.5","log",50,"c4rt",1
0.4478,"de","ar1_0.5","log",50,"c4rt",1.1
0.4676,"de","ar1_0.5","log",50,"c4rt",1.2
0.4972,"de","ar1_0.5","log",50,"c4rt",1.3
0.5416,"de","ar1_0.5","log",50,"c4rt",1.4
0.571,"de","ar1_0.5","log",50,"c4rt",1.5
0.603,"de","ar1_0.5","log",50,"c4rt",1.6
0.634,"de","ar1_0.5","log",50,"c4rt",1.7
0.6764,"de","ar1_0.5","log",50,"c4rt",1.8
0.7066,"de","ar1_0.5","log",50,"c4rt",1.9
0.733,"de","ar1_0.5","log",50,"c4rt",2
0.2616,"de","ar1_0.5","log",200,"c4rt",-2
0.2232,"de","ar1_0.5","log",200,"c4rt",-1.9
0.2248,"de","ar1_0.5","log",200,"c4rt",-1.8
0.1884,"de","ar1_0.5","log",200,"c4rt",-1.7
0.162,"de","ar1_0.5","log",200,"c4rt",-1.6
0.1356,"de","ar1_0.5","log",200,"c4rt",-1.5
0.1292,"de","ar1_0.5","log",200,"c4rt",-1.4
0.1076,"de","ar1_0.5","log",200,"c4rt",-1.3
0.095,"de","ar1_0.5","log",200,"c4rt",-1.2
0.0788,"de","ar1_0.5","log",200,"c4rt",-1.1
0.0666,"de","ar1_0.5","log",200,"c4rt",-1
0.069,"de","ar1_0.5","log",200,"c4rt",-0.9
0.0628,"de","ar1_0.5","log",200,"c4rt",-0.8
0.0536,"de","ar1_0.5","log",200,"c4rt",-0.7
0.051,"de","ar1_0.5","log",200,"c4rt",-0.6
0.049,"de","ar1_0.5","log",200,"c4rt",-0.5
0.0466,"de","ar1_0.5","log",200,"c4rt",-0.4
0.044,"de","ar1_0.5","log",200,"c4rt",-0.3
0.0454,"de","ar1_0.5","log",200,"c4rt",-0.2
0.0426,"de","ar1_0.5","log",200,"c4rt",-0.0999999999999999
0.0402,"de","ar1_0.5","log",200,"c4rt",0
0.04,"de","ar1_0.5","log",200,"c4rt",0.1
0.0466,"de","ar1_0.5","log",200,"c4rt",0.2
0.051,"de","ar1_0.5","log",200,"c4rt",0.3
0.0524,"de","ar1_0.5","log",200,"c4rt",0.4
0.0536,"de","ar1_0.5","log",200,"c4rt",0.5
0.0504,"de","ar1_0.5","log",200,"c4rt",0.6
0.0538,"de","ar1_0.5","log",200,"c4rt",0.7
0.0576,"de","ar1_0.5","log",200,"c4rt",0.8
0.065,"de","ar1_0.5","log",200,"c4rt",0.9
0.0706,"de","ar1_0.5","log",200,"c4rt",1
0.083,"de","ar1_0.5","log",200,"c4rt",1.1
0.094,"de","ar1_0.5","log",200,"c4rt",1.2
